Material,Density,AllowableStressMPa,PressureBar,InternalVolume,StoredEnergyMJ,Radius,Length,HeadDepth,ShellThickness,HeadThickness,Mass
SA/IS 2062 E250B,7750,80.7,200,0.0349999909928261,163.799957846426,0.102871154046802,0.984182771256269,0.0514355770234012,0.0299479342203255,0.0166083952724765,189.497071011418
SA/IS 2062 E250C,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA/EN 10028-2 P265GH,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA/EN 10216-2 P265GH,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA/IS 2062 E250A,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA/IS 2062 E250B,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA/IS 2062 E250C,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA/EN 10216-2 P265GH,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA/EN 10216-2 P265GH,7750,98.6,200,0.0349999828894937,163.799919922831,0.126810824415036,0.60825534810239,0.0634054122075181,0.0292865645300347,0.0144491194774967,151.339103148482
SA-181,7750,100,200,0.034999983879322,163.799924555227,0.126608319648068,0.610608340020642,0.0633041598240339,0.028774618101829,0.0169156037576111,148.582795966104
SA-216 WCA,7750,103,200,0.0349998933430236,163.79950084535,0.13298942904974,0.541256330635164,0.0664947145248701,0.0292284459449942,0.0186390575499159,144.816927046369
SA-266 1,7750,103,200,0.0349998933430236,163.79950084535,0.13298942904974,0.541256330635164,0.0664947145248701,0.0292284459449942,0.0186390575499159,144.816927046369
SA-350 LF1,7750,103,200,0.0349998933430236,163.79950084535,0.13298942904974,0.541256330635164,0.0664947145248701,0.0292284459449942,0.0186390575499159,144.816927046369
SA-352 LCA,7750,103,200,0.0349998933430236,163.79950084535,0.13298942904974,0.541256330635164,0.0664947145248701,0.0292284459449942,0.0186390575499159,144.816927046369
SA-660 WCA,7750,103,200,0.0349998933430236,163.79950084535,0.13298942904974,0.541256330635164,0.0664947145248701,0.0292284459449942,0.0186390575499159,144.816927046369
SA-675 60,7750,105,200,0.0349999782950412,163.799898420793,0.138794304020343,0.485798991345264,0.0693971520101714,0.0298482374237303,0.0143446670114439,142.990249278279
SA-675 60,7750,108,200,0.0349999820715208,163.799916094717,0.139313056002039,0.481154260368265,0.0696565280010195,0.0290235533337674,0.0133696108527945,138.143366595874
SA-765 I,7750,108,200,0.0349999820715208,163.799916094717,0.139313056002039,0.481154260368265,0.0696565280010195,0.0290235533337674,0.0133696108527945,138.143366595874
SA-515 60,7750,108,200,0.0349999820715208,163.799916094717,0.139313056002039,0.481154260368265,0.0696565280010195,0.0290235533337674,0.0133696108527945,138.143366595874
SA-516 60,7750,108,200,0.0349999820715208,163.799916094717,0.139313056002039,0.481154260368265,0.0696565280010195,0.0290235533337674,0.0133696108527945,138.143366595874
SA-671 CB60,7750,108,200,0.0349999820715208,163.799916094717,0.139313056002039,0.481154260368265,0.0696565280010195,0.0290235533337674,0.0133696108527945,138.143366595874
SA-671 CC60,7750,108,200,0.0349999820715208,163.799916094717,0.139313056002039,0.481154260368265,0.0696565280010195,0.0290235533337674,0.0133696108527945,138.143366595874
SA-671 CE60,7750,92.4,200,0.0349996670503576,163.798441795673,0.118322214636355,0.716877343243026,0.0591611073181773,0.0294333867254623,0.0140866268873279,162.163761848936
SA-268 TPXM-27,7750,118,200,0.0349999871315704,163.799939775749,0.139353666065675,0.480792754396895,0.0696768330328374,0.0262931445406979,0.0122073014846093,123.725237192781
SA-268 TPXM-27,7750,128,200,0.034999989536118,163.799951029032,0.139377004594852,0.480585121578703,0.0696885022974258,0.0240305180336049,0.0112239440063905,112.012968111644
SA-479 XM-27,7750,128,200,0.034999989536118,163.799951029032,0.139377004594852,0.480585121578703,0.0696885022974258,0.0240305180336049,0.0112239440063905,112.012968111644
SA-731 TPXM-27,7750,128,200,0.034999989536118,163.799951029032,0.139377004594852,0.480585121578703,0.0696885022974258,0.0240305180336049,0.0112239440063905,112.012968111644
SA-731 TPXM-27,7750,109,200,0.0349999841194061,163.79992567882,0.139327709308051,0.481023788297181,0.0696638546540257,0.0287273627439271,0.0132481992566253,136.556324375502
SA-731 TPXM-33,7750,128,200,0.034999989536118,163.799951029032,0.139377004594852,0.480585121578703,0.0696885022974258,0.0240305180336049,0.0112239440063905,112.012968111644
SA-731 TPXM-33,7750,109,200,0.0349999841194061,163.79992567882,0.139327709308051,0.481023788297181,0.0696638546540257,0.0287273627439271,0.0132481992566253,136.556324375502
SA-240 XM-33,7750,134,200,0.034999990206151,163.799954164787,0.139384475250234,0.480518677132851,0.0696922376251169,0.0228499139754487,0.0107091564218769,105.985924717359
SA-268 TPXM-33,7750,134,200,0.034999990206151,163.799954164787,0.139384475250234,0.480518677132851,0.0696922376251169,0.0228499139754487,0.0107091564218769,105.985924717359
SA-268 TPXM-33,7750,114,200,0.034999985062818,163.799930093988,0.13933627596998,0.48094752477936,0.0696681379849899,0.0273208384254872,0.0126500126331787,129.118098582808
SA-479 29-4,7750,138,200,0.0349999921998566,163.799963495329,0.139409365098156,0.480297372753956,0.0697046825490778,0.0221284706505002,0.0103836361827787,102.317908871603
SA-240 ...,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-268 29-4,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-268 29-4,7750,134,200,0.034999990206151,163.799954164787,0.139384475250234,0.480518677132851,0.0696922376251169,0.0228499139754487,0.0107091564218769,105.985924717359
SA-479 ...,7750,148,200,0.0349999927576812,163.799966105948,0.139416921594088,0.480230206211542,0.0697084607970439,0.0205024884697205,0.00966531625985215,94.1563050300194
SA-240 ...,7750,125,200,0.034999989037294,163.799948694536,0.139371686323381,0.480632428260717,0.0696858431616907,0.0246675551014858,0.0115020173178853,115.288930855336
SA-268 29-4-2,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-268 29-4-2,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-268 ...,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-268 ...,7750,125,200,0.034999989037294,163.799948694536,0.139371686323381,0.480632428260717,0.0696858431616907,0.0246675551014858,0.0115020173178853,115.288930855336
SA-372 D,7750,207,200,0.0349999972302507,163.799987037573,0.137862203848318,0.494267419640534,0.0689311019241591,0.0141397132152111,0.0067653001874352,63.7971312438473
SA-487 2,7750,168,200,0.0349999958112391,163.799980396599,0.137836233808317,0.494505615388558,0.0689181169041584,0.0176713120267092,0.00837934794645137,80.9460554420825
SA-487 2,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-302 A,7750,148,200,0.0349999927576812,163.799966105948,0.139416921594088,0.480230206211542,0.0697084607970439,0.0205024884697205,0.00966531625985215,94.1563050300194
SA-672 H75,7750,148,200,0.0349999927576812,163.799966105948,0.139416921594088,0.480230206211542,0.0697084607970439,0.0205024884697205,0.00966531625985215,94.1563050300194
SA-302 B,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 A,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 A,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-533 D,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 D,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-533 D,7750,197,200,0.0349999969185616,163.799985578868,0.137856054930526,0.494323806297274,0.068928027465263,0.0149033572897856,0.0071166300241292,67.4637941629764
SA-302 C,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 B,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-672 H80,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-672 J80,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 B,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-672 J90,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-533 B,7750,197,200,0.0349999969185616,163.799985578868,0.137856054930526,0.494323806297274,0.068928027465263,0.0149033572897856,0.0071166300241292,67.4637941629764
SA-672 J100,7750,197,200,0.0349999969185616,163.799985578868,0.137856054930526,0.494323806297274,0.068928027465263,0.0149033572897856,0.0071166300241292,67.4637941629764
SA-302 D,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 C,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 E,7750,158,200,0.0349999945382602,163.799974439058,0.137818286856369,0.494670291889011,0.0689091434281845,0.0188792173775803,0.00892427823231861,86.9294701577556
SA-533 C,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-533 E,7750,177,200,0.0349999963371838,163.79998285802,0.137844684353904,0.494428094832658,0.0689223421769521,0.016708446588349,0.00794164544125475,76.2210410857837
SA-533 C,7750,197,200,0.0349999969185616,163.799985578868,0.137856054930526,0.494323806297274,0.068928027465263,0.0149033572897856,0.0071166300241292,67.4637941629764
